CompanyName,Name,City,E_Province,Latitude,Longitude,E_NAIC_Name,CO2_eq,E_Units,Symbol,Report_Year,E_DetailPageURL
NAT-1 GP Inc.,NAT-1 Ralston,Suffield,Alberta,50.337190000000000,-111.176019999999994,Fossil-Fuel Electric Power Generation,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111993&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Ember Resources Inc.,Torrington Comp Stn 08-31,,Alberta,51.784500000000001,-113.532899999999998,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111862&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
AGC Flat glass North America ltée,AGC Flat glass North America ltée,St Augustin De Desmaures,Quebec,0.000000000000000,0.000000000000000,Glass Manufacturing,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110005&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Rayonier AM,RYAM Matane,Matane,Quebec,48.831800000000001,-67.556500000000000,Mechanical Pulp Mills,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111720&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,Oungre Oil MWB 15-31,,Saskatchewan,49.084840000000000,-103.595249999999993,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111943&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Kelt Exploration,Kelt Copton 11-25,,Alberta,54.132170000000002,-119.215500000000006,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111367&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
HARVEST OPERATIONS CORP.,Wainwright B Battery,Wainwright,Alberta,53.148600000000002,-111.194999999999993,Conventional Oil and Gas Extraction,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110748&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Canadian Natural Resources Limited,Birch Comp Stn C-018-I,,British Columbia,59.530999999999999,-120.878000000000000,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110969&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Ovintiv Canada ULC,C-041-G/093-P-09 SCLH,Peace River,British Columbia,55.622920000000001,-120.134370000000004,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112358&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
PETRONAS Energy Canada Ltd.,Graham C-77-F,Fort St John,British Columbia,56.397919999999999,-122.334370000000007,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111467&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Husky Oil Operations Limited,Marsden Single Well Oil Battery 13-16-044-26W3,Manitou Lake,Saskatchewan,52.796610000000001,-109.726020000000005,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111561&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Université Laval,"Centrales thermiques, Service des immeubles",Québec,Quebec,46.783000000000001,-71.265400000000000,Universities,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111152&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Ovintiv Canada ULC,Sunrise Comp Station 01-34,Dawson Creek,British Columbia,55.797840000000001,-120.538259999999994,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111906&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
NWT Power Corp,Fort McPherson Plant,Fort McPherson,Northwest Territories,0.000000000000000,0.000000000000000,Fossil-Fuel Electric Power Generation,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110507&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
